ligand,receptor
CDH1,ITGA2_ITGB1
CDH1,ITGAE_ITGB7
CDH1,KLRG1
CDH2,CDH2
CDH2,FCER2
CDH3,CDH3
CDH5,CDH5
CDH6,CDH6
CDH7,CDH7
CADM1,CADM1
CADM1,NECTIN3
CADM3,CADM1
CADM3,CADM4
CADM3,EPB41L1
CADM3,NECTIN3
CEACAM1,CD209
CEACAM1,CEACAM6
CEACAM1,CEACAM8
CEACAM1,SELE
CEACAM5,CD1D
CEACAM5,CD8A
CEACAM5,CEACAM1
CEACAM5,CEACAM6
CEACAM6,CEACAM6
CEACAM8,CEACAM6
COL10A1,ITGA1_ITGB1
COL10A1,ITGA10_ITGB1
COL10A1,ITGA11_ITGB1
COL10A1,ITGA2_ITGB1
COL11A1,ITGA1_ITGB1
COL11A1,ITGA10_ITGB1
COL11A1,ITGA11_ITGB1
COL11A1,ITGA2_ITGB1
COL11A2,ITGA1_ITGB1
COL11A2,ITGA10_ITGB1
COL11A2,ITGA11_ITGB1
COL11A2,ITGA2_ITGB1
COL12A1,ITGA1_ITGB1
COL12A1,ITGA10_ITGB1
COL12A1,ITGA11_ITGB1
COL12A1,ITGA2_ITGB1
COL13A1,ITGA1_ITGB1
COL13A1,ITGA10_ITGB1
COL13A1,ITGA11_ITGB1
COL13A1,ITGA2_ITGB1
COL14A1,ITGA1_ITGB1
COL14A1,ITGA10_ITGB1
COL14A1,ITGA11_ITGB1
COL14A1,ITGA2_ITGB1
COL15A1,ITGA1_ITGB1
COL15A1,ITGA10_ITGB1
COL15A1,ITGA11_ITGB1
COL15A1,ITGA2_ITGB1
COL16A1,ITGA1_ITGB1
COL16A1,ITGA10_ITGB1
COL16A1,ITGA11_ITGB1
COL16A1,ITGA2_ITGB1
COL17A1,ITGA1_ITGB1
COL17A1,ITGA10_ITGB1
COL17A1,ITGA11_ITGB1
COL17A1,ITGA2_ITGB1
COL18A1,ITGA1_ITGB1
COL18A1,ITGA10_ITGB1
COL18A1,ITGA11_ITGB1
COL18A1,ITGA2_ITGB1
COL19A1,ITGA1_ITGB1
COL19A1,ITGA10_ITGB1
COL19A1,ITGA11_ITGB1
COL19A1,ITGA2_ITGB1
COL1A1,ITGA1_ITGB1
COL1A1,ITGA10_ITGB1
COL1A1,ITGA11_ITGB1
COL1A1,ITGA2_ITGB1
COL1A2,ITGA1_ITGB1
COL1A2,ITGA10_ITGB1
COL1A2,ITGA11_ITGB1
COL1A2,ITGA2_ITGB1
COL20A1,ITGA1_ITGB1
COL20A1,ITGA10_ITGB1
COL20A1,ITGA11_ITGB1
COL20A1,ITGA2_ITGB1
COL21A1,ITGA1_ITGB1
COL21A1,ITGA10_ITGB1
COL21A1,ITGA11_ITGB1
COL21A1,ITGA2_ITGB1
COL22A1,ITGA1_ITGB1
COL22A1,ITGA10_ITGB1
COL22A1,ITGA11_ITGB1
COL22A1,ITGA2_ITGB1
COL24A1,ITGA1_ITGB1
COL24A1,ITGA10_ITGB1
COL24A1,ITGA11_ITGB1
COL24A1,ITGA2_ITGB1
COL26A1,ITGA1_ITGB1
COL26A1,ITGA10_ITGB1
COL26A1,ITGA11_ITGB1
COL26A1,ITGA2_ITGB1
COL27A1,ITGA1_ITGB1
COL27A1,ITGA10_ITGB1
COL27A1,ITGA11_ITGB1
COL27A1,ITGA2_ITGB1
COL28A1,ITGA1_ITGB1
COL28A1,ITGA10_ITGB1
COL28A1,ITGA11_ITGB1
COL28A1,ITGA2_ITGB1
COL2A1,ITGA1_ITGB1
COL2A1,ITGA10_ITGB1
COL2A1,ITGA11_ITGB1
COL2A1,ITGA2_ITGB1
COL3A1,ADGRG1
COL3A1,ITGA1_ITGB1
COL3A1,ITGA10_ITGB1
COL3A1,ITGA11_ITGB1
COL3A1,ITGA2_ITGB1
COL4A1,ADGRG6
COL4A1,ITGA1_ITGB1
COL4A1,ITGA10_ITGB1
COL4A1,ITGA11_ITGB1
COL4A1,ITGA2_ITGB1
COL4A2,ADGRG6
COL4A2,ITGA1_ITGB1
COL4A2,ITGA10_ITGB1
COL4A2,ITGA11_ITGB1
COL4A2,ITGA2_ITGB1
COL4A3,ADGRG6
COL4A3,ITGA1_ITGB1
COL4A3,ITGA10_ITGB1
COL4A3,ITGA11_ITGB1
COL4A3,ITGA2_ITGB1
COL4A4,ADGRG6
COL4A4,ITGA1_ITGB1
COL4A4,ITGA10_ITGB1
COL4A4,ITGA11_ITGB1
COL4A4,ITGA2_ITGB1
COL4A5,ADGRG6
COL4A5,ITGA1_ITGB1
COL4A5,ITGA10_ITGB1
COL4A5,ITGA11_ITGB1
COL4A5,ITGA2_ITGB1
COL4A6,ADGRG6
COL4A6,ITGA1_ITGB1
COL4A6,ITGA10_ITGB1
COL4A6,ITGA11_ITGB1
COL4A6,ITGA2_ITGB1
COL5A1,ITGA1_ITGB1
COL5A1,ITGA10_ITGB1
COL5A1,ITGA11_ITGB1
COL5A1,ITGA2_ITGB1
COL5A2,ITGA1_ITGB1
COL5A2,ITGA10_ITGB1
COL5A2,ITGA11_ITGB1
COL5A2,ITGA2_ITGB1
COL5A3,ITGA1_ITGB1
COL5A3,ITGA10_ITGB1
COL5A3,ITGA11_ITGB1
COL5A3,ITGA2_ITGB1
COL6A1,ITGA1_ITGB1
COL6A1,ITGA10_ITGB1
COL6A1,ITGA11_ITGB1
COL6A1,ITGA2_ITGB1
COL6A2,ITGA1_ITGB1
COL6A2,ITGA10_ITGB1
COL6A2,ITGA11_ITGB1
COL6A2,ITGA2_ITGB1
COL6A3,ITGA1_ITGB1
COL6A3,ITGA10_ITGB1
COL6A3,ITGA11_ITGB1
COL6A3,ITGA2_ITGB1
COL6A5,ITGA1_ITGB1
COL6A5,ITGA10_ITGB1
COL6A5,ITGA11_ITGB1
COL6A5,ITGA2_ITGB1
COL6A6,ITGA1_ITGB1
COL6A6,ITGA10_ITGB1
COL6A6,ITGA11_ITGB1
COL6A6,ITGA2_ITGB1
COL7A1,ITGA1_ITGB1
COL7A1,ITGA10_ITGB1
COL7A1,ITGA11_ITGB1
COL7A1,ITGA2_ITGB1
COL8A1,ITGA1_ITGB1
COL8A1,ITGA10_ITGB1
COL8A1,ITGA11_ITGB1
COL8A1,ITGA2_ITGB1
COL8A2,ITGA1_ITGB1
COL8A2,ITGA10_ITGB1
COL8A2,ITGA11_ITGB1
COL8A2,ITGA2_ITGB1
COL9A1,ITGA1_ITGB1
COL9A1,ITGA10_ITGB1
