region,category,n_category,k_pos,expected_pos,fold_enrichment_pos,p_pos_enrich,p_pos_deplete,k_neg,expected_neg,fold_enrichment_neg,p_neg_enrich,p_neg_deplete,q_pos_enrich,q_pos_deplete,q_neg_enrich,q_neg_deplete
acc,Axon guidance,116860,60,21.28,2.819,9.001687010341717e-14,0.9999999999999101,27,65.7,0.411,0.9999999779850719,2.2014928165667848e-08,7.296104208382233e-13,1.0,1.0,1.402882318970834e-07
acc,Cholinergic signaling,0,0,0.0,,0.0,1.0,0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0
acc,ECM/Adhesion,127642,1,23.24,0.043,0.9999999991925521,8.07447915542944e-10,12,71.76,0.167,1.0,3.979308094648215e-19,1.0,5.367495496127196e-09,1.0,3.790598638613352e-18
acc,GABA signaling,171107,0,31.16,0.0,0.9999999999999949,5.0700635125020115e-15,1,96.2,0.01,1.0,7.841173775898402e-43,1.0,4.25885335050169e-14,1.0,1.1146530106046343e-41
acc,Gap junction,657,0,0.12,0.0,0.11279534370848632,0.8872046562915137,0,0.37,0.0,0.3089553846594356,0.6910446153405644,0.31678692275574877,1.0,0.6945858282854465,1.0
acc,Glutamate signaling,515439,236,93.87,2.514,2.9330575159730934e-65,1.0,145,289.79,0.5,1.0,5.841280939270367e-28,5.2118175860752654e-64,1.0,1.0,6.4254090331974034e-27
acc,Glycine signaling,85,0,0.02,0.0,0.01536174073754437,0.9846382592624556,0,0.05,0.0,0.04667808265508261,0.9533219173449174,0.054804048036644785,1.0,0.14424932566319842,1.0
acc,Growth Factor/Neurotrophic,165269,1,30.1,0.033,0.9999999999994281,5.718744303721886e-13,29,92.92,0.312,0.9999999999999993,7.517119878630534e-16,1.0,4.403433113865853e-12,1.0,6.552659214957183e-15
acc,Hormones/Endocrine,1946,0,0.35,0.0,0.2985632264269821,0.7014367735730179,0,1.09,0.0,0.6654678247908823,0.33453217520911765,0.6790945099158535,1.0,1.0,0.7391406767074223
acc,Immune/Inflammatory,20221,0,3.68,0.0,0.975416444835314,0.024583555164686025,3,11.37,0.264,0.9964323018943093,0.0035676981056907207,1.0,0.0835117829859187,1.0,0.014395428164446403
acc,Lipid signaling,5991,0,1.09,0.0,0.6648269009302923,0.33517309906970777,0,3.37,0.0,0.9657934851412607,0.034206514858739274,1.0,0.7391406767074223,1.0,0.11168487536916993
acc,Metabolic/Other,45083,0,8.21,0.0,0.9997578463499073,0.00024215365009274786,0,25.35,0.0,0.9999999999931666,6.833428920459981e-12,1.0,0.00113005036709949,1.0,5.01118120833732e-11
acc,Monoamine signaling,7,0,0.0,0.0,0.0012740594637976029,0.9987259405362025,0,0.0,0.0,0.003928855816193287,0.9960711441838067,0.0055075805691488,1.0,0.015647684371390504,1.0
acc,Neuropeptide signaling,3096,0,0.56,0.0,0.43129332329075387,0.5687066767092461,0,1.74,0.0,0.8249607725717503,0.1750392274282498,0.8927473691001467,1.0,1.0,0.4413334044610475
acc,Notch/Hedgehog,27663,0,5.04,0.0,0.9937873920561352,0.006212607943864753,48,15.55,3.086,5.5445328946103275e-12,0.9999999999944555,1.0,0.0239185405838793,4.098518715695954e-11,1.0
acc,Purinergic signaling,1867,0,0.34,0.0,0.2883861942393511,0.7116138057606489,0,1.05,0.0,0.6502522852248267,0.34974771477517336,0.6612130111095791,1.0,1.0,0.7632773234218885
acc,Steroid/Retinoid signaling,10386,0,1.89,0.0,0.8500675125417367,0.1499324874582632,0,5.84,0.0,0.9971470099758567,0.0028529900241433498,1.0,0.3946940695482485,1.0,0.01182135776819935
acc,Synapse organization,5272,0,0.96,0.0,0.6177607899243508,0.3822392100756492,0,2.96,0.0,0.9486761059226348,0.05132389407736513,1.0,0.8119288048503445,1.0,0.15703072227644166
acc,Synaptic adhesion,325239,0,59.23,0.0,1.0,2.0865110775394395e-29,646,182.85,3.533,1.0533824093375591e-239,1.0,1.0,2.4099202945580528e-28,3.3562942973376025e-238,1.0
acc,Teneurin/Latrophilin,71333,0,12.99,0.0,0.9999982970624592,1.702937540810975e-06,9,40.1,0.224,0.9999999979228511,2.0771488703659965e-09,1.0,9.476378718185022e-06,1.0,1.3709182544415576e-08
acc,Wnt signaling,21232,0,3.87,0.0,0.979598918291515,0.02040108170848493,0,11.94,0.0,0.9999939677273584,6.032272641631629e-06,1.0,0.07113433773071727,1.0,3.149050802750071e-05
cn,Axon guidance,66586,48,37.88,1.267,0.04040358527488027,0.9595964147251198,150,229.09,0.655,0.9999999948333526,5.166647654855268e-09,0.12741608462112414,1.0,1.0,3.361959459919907e-08
cn,Cholinergic signaling,298,0,0.17,0.0,0.155998195849921,0.844001804150079,0,1.03,0.0,0.6419875274524462,0.3580124725475537,0.408335220864949,1.0,1.0,0.7711037870255002
cn,ECM/Adhesion,93026,47,52.92,0.888,0.7819651714148466,0.21803482858515344,155,320.05,0.484,1.0,6.2220958502403155e-27,1.0,0.525145832500244,1.0,6.685135541420991e-26
cn,GABA signaling,142317,41,80.96,0.506,0.9999998826248714,1.1737512868612958e-07,8,489.63,0.016,1.0,1.1276793979440937e-214,1.0,7.182425093111506e-07,1.0,3.473252545667809e-213
cn,Gap junction,1223,0,0.7,0.0,0.5016218714695453,0.4983781285304547,0,4.21,0.0,0.9852679706363981,0.014732029363601865,1.0,0.9967562570609094,1.0,0.052761221441736915
cn,Glutamate signaling,216494,258,123.16,2.095,4.581022028269157e-38,1.0,1764,744.84,2.368,0.0,1.0,6.134586020464784e-37,1.0,0.0,1.0
cn,Glycine signaling,197,0,0.11,0.0,0.10605621560262515,0.8939437843973749,4,0.68,5.902,0.0006539315065179581,0.9993460684934821,0.3006010528123486,1.0,0.002991251049616798,1.0
cn,Growth Factor/Neurotrophic,101027,10,57.47,0.174,0.9999999999999987,1.3478933008743562e-15,123,347.58,0.354,1.0,6.040534413361044e-48,1.0,1.1531976018591714e-14,1.0,9.149924258927221e-47
cn,Hormones/Endocrine,2521,0,1.43,0.0,0.7622449525601347,0.23775504743986525,0,8.67,0.0,0.9998334598212276,0.0001665401787723522,1.0,0.564744637106518,1.0,0.0007811326151556012
cn,Immune/Inflammatory,11908,1,6.77,0.148,0.99141464671257,0.00858535328743002,0,40.97,0.0,1.0,1.1485433204309304e-18,1.0,0.03211686816836169,1.0,1.0612540280781797e-17
